/* DATA DESCRIPTION:
Citation:	Petit, Jean Robert; Jouzel, Jean (1999): Vostok ice core deuterium data for 420,000 years [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55505
Related to:	Petit, Jean Robert; Jouzel, Jean; Raynaud, Dominique; Barkov, Nartsiss I; Barnola, Jean-Marc; Basile, Isabelle; Bender, Michael L; Chappellaz, Jérôme A; Davis, John C; Delaygue, Gilles; Delmotte, M; Kotlyakov, Vladimir; Legrand, Michel R; Lipenkov, Vladimir Ya; Lorius, C; Pepin, L; Ritz, Catherine; Saltzman, Eric S; Stiévenard, Michel (1999): Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica. Nature, 399(6735), 429-436, https://doi.org/10.1038/20859
Coverage:	LATITUDE: -78.464420 * LONGITUDE: 106.837320
	DATE/TIME START: 1980-01-01T00:00:00 * DATE/TIME END: 1980-01-01T00:00:00
	MINIMUM DEPTH, ice/snow: 0 m * MAXIMUM DEPTH, ice/snow: 3310 m
Event(s):	Vostok * LATITUDE: -78.464420 * LONGITUDE: 106.837320 * DATE/TIME: 1980-01-01T00:00:00 * ELEVATION: 3488.0 m * Recovery: 2755 m * LOCATION: Antarctica * CAMPAIGN: Ice_core_diverse * BASIS: Sampling/drilling ice * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: annual pressure 624 mbar; mean annual temperature -55.5°C; snow accumulation between 2.2 and
	22.5 g/cm**2/yr, about 250 ka
Comment:	Deuterium data is from core 3G between 138 and 2083 meters below surface (mbs) (with one long missing section between 312 and 320 mbs), from core 4G between 8 and 138 mbs and between 1920 and 2546 mbs and from core 5G between 2504 and 2757 mbs. Ash layers help to make link between cores. No correction was applied for 3G and 4G core taken as reference depth. For 5G samples, a value of 3.41 m have been added to the depth measured in the field below depth of 2500 m. The temperature change is calculated using a deuterium/temperature gradient of 9‰/°C after accounting for the isotopic change of sea-water. No correction for the influence of the geographical position of the ice was applied.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ Deuterium [‰ SMOW] (δD) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * COMMENT: Deuterium measurements have been performed on three adjacent cores 3G, 4G and 5G (see Figure 1 of Jouzel et al., 1996). It combines results successively published in Jouzel et al. (1987, 1993 and 1996). Deuterium values have been measured on ice samples of length comprised between 0.5 and 2 m (down to 2080 m) then every 1 m. Data was re-interpolated on 1m intervals afterwards. The ice recovery is 85% or higher. Measurement accuracy is of ± 0.5 per mil SMOW
	Temperature, difference [°C] (delta T) * PI: Petit, Jean Robert (jean-robert.petit@univ-grenoble-alpes.fr) * METHOD/DEVICE: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	6622 data points
*/
Depth ice/snow [m]	Age [ka BP]	δD [‰ SMOW]	delta T [°C]
98	3.334	-439.8	-0.30
99	3.379	-438.8	-0.13
100	3.422	-436.7	0.22
101	3.466	-437.0	0.17
102	3.511	-443.5	-0.91
103	3.558	-443.4	-0.90
104	3.603	-436.2	0.30
105	3.646	-434.1	0.65
106	3.689	-434.5	0.58
107	3.732	-437.8	0.03
108	3.778	-441.8	-0.63
109	3.824	-440.8	-0.46
110	3.870	-438.0	0.00
111	3.915	-439.4	-0.23
112	3.962	-442.0	-0.66
113	4.009	-442.4	-0.73
114	4.057	-442.5	-0.75
115	4.104	-443.5	-0.91
116	4.153	-444.6	-1.09
117	4.202	-444.0	-1.00
118	4.250	-441.2	-0.53
119	4.295	-434.7	0.55
120	4.339	-431.2	1.13
121	4.381	-431.2	1.13
122	4.423	-431.2	1.13
123	4.466	-431.2	1.13
124	4.509	-431.2	1.13
125	4.552	-432.7	0.88
126	4.596	-436.8	0.20
127	4.642	-440.0	-0.33
128	4.690	-443.3	-0.88
129	4.739	-441.5	-0.58
130	4.786	-436.5	0.25
131	4.831	-438.0	0.00
132	4.880	-444.9	-1.14
133	4.929	-442.0	-0.66
134	4.977	-440.2	-0.36
135	5.025	-442.0	-0.66
136	5.072	-437.2	0.13
137	5.118	-436.9	0.18
138	5.165	-440.3	-0.38
139	5.212	-439.3	-0.22
140	5.259	-436.3	0.28
141	5.305	-437.4	0.10
142	5.351	-437.5	0.08
143	5.397	-435.0	0.50
144	5.442	-435.0	0.50
145	5.488	-436.8	0.20
146	5.534	-437.9	0.02
147	5.581	-437.5	0.08
148	5.627	-437.8	0.03
149	5.674	-438.4	-0.06
150	5.721	-438.9	-0.15
151	5.769	-439.5	-0.25
152	5.816	-439.3	-0.22
153	5.863	-437.1	0.15
154	5.909	-435.3	0.45
155	5.955	-438.8	-0.13
156	6.004	-442.4	-0.73
157	6.052	-439.2	-0.21
158	6.099	-436.1	0.32
159	6.145	-439.0	-0.17
160	6.193	-440.2	-0.33
161	6.241	-437.6	0.09
162	6.287	-436.4	0.28
163	6.334	-441.3	-0.55
164	6.385	-447.5	-1.59
165	6.436	-444.4	-1.09
166	6.486	-439.6	-0.31
167	6.534	-441.4	-0.62
168	6.583	-441.5	-0.65
169	6.631	-435.3	0.37
170	6.677	-435.2	0.37
171	6.724	-439.5	-0.36
172	6.773	-442.3	-0.84
173	6.823	-444.9	-1.28
174	6.874	-444.0	-1.14
175	6.924	-440.5	-0.58
176	6.973	-440.5	-0.59
177	7.023	-443.2	-1.05
178	7.074	-444.0	-1.20
179	7.124	-440.5	-0.63
180	7.172	-436.5	0.02
181	7.220	-436.8	-0.04
182	7.267	-437.1	-0.11
183	7.315	-438.1	-0.29
184	7.364	-441.2	-0.81
185	7.413	-439.7	-0.58
186	7.462	-436.0	0.02
187	7.509	-436.2	-0.03
188	7.555	-433.1	0.48
189	7.602	-436.0	-0.02
190	7.649	-435.7	0.02
191	7.697	-436.0	-0.04
192	7.745	-440.0	-0.72
193	7.794	-439.0	-0.57
194	7.844	-440.9	-0.90
195	7.894	-441.0	-0.93
196	7.944	-439.5	-0.69
197	7.994	-438.5	-0.54
198	8.043	-439.0	-0.64
199	8.091	-433.3	0.30
200	8.135	-422.6	2.06
201	8.178	-431.4	0.59
202	8.226	-440.1	-0.87
203	8.276	-439.5	-0.78
204	8.325	-438.0	-0.55
205	8.374	-435.9	-0.21
206	8.422	-436.1	-0.26
207	8.471	-437.6	-0.52
208	8.520	-438.3	-0.65
209	8.569	-438.4	-0.68
210	8.619	-438.6	-0.73
211	8.668	-437.5	-0.56
212	8.716	-432.0	0.34
213	8.763	-433.2	0.13
214	8.811	-438.8	-0.81
215	8.861	-437.0	-0.53
216	8.910	-437.0	-0.54
217	8.960	-439.0	-0.88
218	9.009	-436.5	-0.48
219	9.058	-436.0	-0.41
220	9.107	-437.1	-0.60
221	9.156	-436.5	-0.51
222	9.204	-434.1	-0.13
223	9.252	-431.7	0.26
224	9.298	-433.0	0.03
225	9.346	-435.5	-0.39
226	9.396	-438.0	-0.82
227	9.445	-437.2	-0.70
228	9.494	-433.9	-0.16
229	9.542	-433.8	-0.16
230	9.589	-430.2	0.43
231	9.635	-429.6	0.51
232	9.682	-435.4	-0.46
233	9.732	-437.4	-0.80
234	9.782	-437.6	-0.85
235	9.831	-436.9	-0.74
236	9.881	-434.5	-0.36
237	9.929	-434.5	-0.37
238	9.978	-436.1	-0.65
239	10.027	-433.8	-0.28
240	10.075	-434.9	-0.47
241	10.124	-435.5	-0.58
242	10.172	-430.0	0.31
243	10.218	-428.7	0.52
244	10.265	-432.8	-0.18
245	10.315	-439.5	-1.30
246	10.366	-437.4	-0.97
247	10.415	-434.1	-0.43
248	10.465	-436.0	-0.76
249	10.515	-436.0	-0.77
250	10.564	-436.0	-0.79
251	10.614	-436.6	-0.90
252	10.665	-436.9	-0.96
253	10.715	-435.2	-0.70
254	10.764	-432.5	-0.26
255	10.812	-433.5	-0.44
256	10.861	-434.5	-0.62
257	10.910	-431.6	-0.15
258	10.957	-431.3	-0.12
259	11.005	-431.9	-0.23
260	11.053	-430.3	0.02
261	11.100	-429.8	0.09
262	11.146	-425.8	0.74
263	11.191	-425.3	0.81
264	11.237	-431.2	-0.18
265	11.286	-433.0	-0.48
266	11.334	-431.7	-0.27
267	11.383	-434.5	-0.73
268	11.434	-437.4	-1.22
269	11.485	-437.8	-1.29
270	11.537	-439.5	-1.57
271	11.590	-439.6	-1.59
272	11.642	-439.7	-1.61
273	11.695	-441.0	-1.83
274	11.749	-443.2	-2.20
275	11.805	-444.2	-2.37
276	11.861	-447.1	-2.85
277	11.918	-445.3	-2.55
278	11.973	-443.1	-2.19
279	12.029	-447.0	-2.84
280	12.087	-448.5	-3.09
281	12.144	-446.5	-2.77
282	12.202	-447.3	-2.90
283	12.261	-453.2	-3.88
284	12.323	-455.0	-4.18
285	12.385	-453.6	-3.96
286	12.446	-451.5	-3.61
287	12.507	-452.4	-3.76
288	12.569	-455.3	-4.25
289	12.632	-455.3	-4.25
290	12.694	-453.3	-3.91
291	12.755	-451.2	-3.57
292	12.815	-449.2	-3.24
293	12.874	-450.2	-3.40
294	12.934	-450.8	-3.50
295	12.994	-451.8	-3.67
296	13.055	-452.9	-3.85
297	13.116	-452.3	-3.75
298	13.177	-452.1	-3.72
299	13.237	-450.5	-3.45
300	13.296	-448.8	-3.17
301	13.355	-448.8	-3.17
302	13.414	-451.8	-3.67
303	13.476	-455.5	-4.28
304	13.539	-453.9	-4.02
305	13.600	-451.2	-3.57
306	13.659	-449.4	-3.27
307	13.718	-447.2	-2.91
308	13.774	-442.9	-2.19
309	13.828	-442.0	-2.04
310	13.883	-443.2	-2.24
311	13.938	-442.1	-2.06
312	13.992	-443.6	-2.32
313	14.048	-445.2	-2.57
314	14.105	-446.8	-2.83
315	14.163	-448.3	-3.08
316	14.221	-449.8	-3.34
317	14.281	-451.4	-3.60
318	14.342	-453.0	-3.85
319	14.404	-454.5	-4.11
320	14.466	-451.7	-3.64
321	14.526	-452.8	-3.82
322	14.589	-456.0	-4.34
323	14.651	-453.8	-3.98
324	14.713	-453.5	-3.92
325	14.775	-454.8	-4.14
326	14.839	-457.1	-4.52
327	14.904	-458.1	-4.68
328	14.968	-456.7	-4.44
329	15.032	-458.0	-4.66
330	15.099	-462.0	-5.32
331	15.167	-462.5	-5.40
332	15.234	-460.1	-5.00
333	15.300	-459.0	-4.81
334	15.366	-458.6	-4.74
335	15.432	-461.1	-5.15
336	15.501	-464.5	-5.71
337	15.570	-463.8	-5.60
338	15.639	-462.9	-5.44
339	15.708	-463.7	-5.57
340	15.777	-462.0	-5.29
341	15.845	-462.4	-5.35
342	15.915	-467.5	-6.19
343	15.987	-466.3	-5.99
344	16.057	-464.9	-5.75
345	16.128	-466.9	-6.08
346	16.201	-468.5	-6.34
347	16.275	-470.9	-6.74
348	16.350	-471.8	-6.88
349	16.426	-471.8	-6.88
350	16.502	-471.0	-6.74
351	16.577	-471.2	-6.77
352	16.653	-472.4	-6.97
353	16.729	-473.6	-7.16
354	16.808	-475.6	-7.49
355	16.889	-480.7	-8.33
356	16.974	-481.8	-8.51
357	17.058	-479.0	-8.04
358	17.139	-476.4	-7.60
359	17.219	-476.0	-7.53
360	17.298	-475.5	-7.45
361	17.379	-479.4	-8.09
362	17.462	-480.5	-8.27
363	17.544	-477.0	-7.68
364	17.625	-477.6	-7.78
365	17.706	-478.0	-7.84
366	17.787	-477.9	-7.82
367	17.868	-477.3	-7.72
368	17.949	-477.5	-7.75
369	18.031	-480.2	-8.19
370	18.116	-482.8	-8.63
371	18.201	-480.0	-8.16
372	18.283	-478.4	-7.89
373	18.365	-477.5	-7.74
374	18.446	-478.9	-7.97
375	18.530	-482.1	-8.50
376	18.615	-481.7	-8.43
377	18.701	-483.5	-8.73
378	18.787	-481.9	-8.46
379	18.870	-476.6	-7.58
380	18.950	-476.9	-7.63
381	19.032	-479.8	-8.11
382	19.116	-480.7	-8.26
383	19.199	-479.4	-8.03
384	19.282	-478.0	-7.81
385	19.362	-476.4	-7.54
386	19.443	-477.4	-7.70
387	19.525	-480.1	-8.15
388	19.610	-481.9	-8.45
389	19.696	-483.5	-8.71
390	19.782	-482.4	-8.52
391	19.868	-482.9	-8.61
392	19.953	-479.2	-7.99
393	20.035	-477.0	-7.62
394	20.116	-478.3	-7.84
395	20.197	-476.4	-7.52
396	20.278	-478.2	-7.82
397	20.361	-480.0	-8.11
398	20.444	-479.8	-8.08
399	20.528	-479.5	-8.03
400	20.611	-479.6	-8.04
401	20.694	-479.1	-7.96
402	20.777	-478.6	-7.87
403	20.859	-479.0	-7.94
404	20.943	-480.1	-8.12
405	21.026	-480.0	-8.10
406	21.110	-479.0	-7.93
407	21.192	-478.9	-7.91
408	21.275	-478.9	-7.91
409	21.358	-479.4	-8.00
410	21.442	-480.0	-8.09
411	21.525	-477.8	-7.73
412	21.605	-475.6	-7.36
413	21.686	-477.4	-7.66
414	21.769	-480.9	-8.24
415	21.854	-481.5	-8.33
416	21.939	-480.2	-8.12
417	22.023	-480.4	-8.15
418	22.108	-482.0	-8.41
419	22.196	-484.5	-8.82
420	22.284	-484.5	-8.82
421	22.371	-482.3	-8.45
422	22.457	-481.4	-8.30
423	22.543	-481.8	-8.37
424	22.629	-482.3	-8.45
425	22.716	-482.8	-8.52
426	22.803	-483.2	-8.59
427	22.888	-479.5	-7.97
428	22.972	-479.2	-7.92
429	23.057	-482.7	-8.50
430	23.145	-484.5	-8.80
431	23.234	-485.1	-8.89
432	23.324	-485.8	-9.01
433	23.412	-483.0	-8.54
434	23.497	-478.3	-7.76
435	23.581	-481.0	-8.20
436	23.668	-483.6	-8.63
437	23.755	-483.6	-8.63
438	23.843	-483.6	-8.63
439	23.931	-482.5	-8.44
440	24.017	-481.4	-8.26
441	24.102	-480.0	-8.03
442	24.186	-479.1	-7.87
443	24.272	-484.0	-8.68
444	24.363	-488.3	-9.39
445	24.453	-482.7	-8.46
446	24.537	-477.1	-7.53
447	24.619	-477.0	-7.51
448	24.700	-477.0	-7.50
449	24.781	-475.5	-7.25
450	24.860	-474.0	-7.00
451	24.941	-477.4	-7.57
452	25.024	-480.9	-8.14
453	25.109	-480.0	-7.98
454	25.193	-479.1	-7.83
455	25.277	-478.2	-7.68
456	25.360	-479.5	-7.89
457	25.445	-481.8	-8.27
458	25.531	-481.0	-8.13
459	25.615	-478.4	-7.70
460	25.697	-474.5	-7.05
461	25.776	-474.1	-6.98
462	25.855	-475.8	-7.26
463	25.936	-476.0	-7.29
464	26.017	-477.1	-7.47
465	26.099	-477.2	-7.48
466	26.180	-475.3	-7.16
467	26.261	-475.8	-7.24
468	26.342	-477.7	-7.55
469	26.425	-479.3	-7.82
470	26.510	-480.7	-8.05
471	26.595	-481.0	-8.09
472	26.681	-481.0	-8.09
473	26.766	-478.9	-7.74
474	26.849	-477.8	-7.56
475	26.933	-479.9	-7.90
476	27.019	-484.4	-8.64
477	27.110	-486.7	-9.02
478	27.202	-486.7	-9.02
479	27.293	-485.5	-8.82
480	27.382	-484.3	-8.62
481	27.470	-481.4	-8.14
482	27.555	-479.6	-7.84
483	27.641	-482.3	-8.28
484	27.730	-484.6	-8.66
485	27.819	-483.8	-8.52
486	27.907	-482.3	-8.27
487	27.993	-481.2	-8.09
488	28.079	-480.1	-7.90
489	28.163	-478.8	-7.69
490	28.247	-477.6	-7.49
491	28.331	-481.7	-8.16
492	28.420	-485.7	-8.82
493	28.510	-483.6	-8.47
494	28.597	-481.5	-8.12
495	28.683	-479.4	-7.77
496	28.766	-477.2	-7.42
497	28.848	-475.1	-7.07
498	28.927	-473.0	-6.71
499	29.006	-473.0	-6.71
500	29.085	-474.6	-6.98
501	29.166	-476.2	-7.25
502	29.249	-477.9	-7.52
503	29.332	-479.5	-7.79
504	29.418	-481.1	-8.05
505	29.505	-482.9	-8.35
506	29.594	-483.0	-8.37
507	29.682	-482.8	-8.33
508	29.771	-484.3	-8.58
509	29.861	-483.4	-8.43
510	29.949	-482.6	-8.30
511	30.036	-480.5	-7.95
512	30.120	-475.6	-7.14
513	30.201	-474.9	-7.02
514	30.283	-478.5	-7.62
515	30.368	-479.8	-7.83
516	30.453	-479.3	-7.75
517	30.538	-478.6	-7.64
518	30.622	-478.0	-7.52
519	30.705	-477.3	-7.41
520	30.788	-476.6	-7.30
521	30.871	-478.6	-7.63
522	30.957	-480.5	-7.95
523	31.043	-480.8	-8.00
524	31.130	-481.1	-8.05
525	31.216	-479.9	-7.85
526	31.302	-478.7	-7.65
527	31.387	-479.4	-7.77
528	31.473	-481.0	-8.03
529	31.560	-482.0	-8.20
530	31.648	-480.4	-7.93
531	31.733	-477.2	-7.40
532	31.815	-475.6	-7.14
533	31.896	-473.4	-6.77
534	31.976	-473.2	-6.74
535	32.056	-473.5	-6.79
536	32.137	-475.3	-7.09
537	32.219	-476.4	-7.27
538	32.300	-472.4	-6.61
539	32.380	-475.2	-7.07
540	32.463	-477.7	-7.49
541	32.546	-474.7	-6.99
542	32.626	-472.5	-6.62
543	32.705	-473.0	-6.71
544	32.787	-477.6	-7.47
545	32.871	-477.6	-7.47
546	32.955	-476.5	-7.29
547	33.039	-478.3	-7.59
548	33.124	-478.4	-7.60
549	33.209	-478.4	-7.60
550	33.293	-476.8	-7.34
551	33.376	-475.2	-7.07
552	33.459	-477.4	-7.44
553	33.544	-478.0	-7.54
554	33.628	-476.6	-7.31
555	33.711	-475.5	-7.12
556	33.793	-475.8	-7.17
557	33.877	-476.9	-7.36
558	33.960	-475.8	-7.17
559	34.041	-471.9	-6.53
560	34.121	-474.0	-6.88
561	34.202	-473.3	-6.76
562	34.281	-470.2	-6.25
563	34.360	-472.3	-6.59
564	34.438	-469.2	-6.08
565	34.515	-468.8	-6.01
566	34.592	-469.6	-6.15
567	34.669	-467.9	-5.87
568	34.744	-466.9	-5.70
569	34.818	-463.5	-5.14
570	34.889	-461.6	-4.82
571	34.960	-463.0	-5.05
572	35.033	-465.8	-5.52
573	35.108	-468.6	-5.98
574	35.185	-468.1	-5.90
575	35.261	-467.6	-5.82
576	35.336	-465.0	-5.39
577	35.409	-464.1	-5.24
578	35.482	-464.9	-5.37
579	35.556	-466.0	-5.55
580	35.631	-466.6	-5.65
581	35.705	-465.1	-5.41
582	35.780	-466.4	-5.62
583	35.855	-467.0	-5.72
584	35.930	-467.3	-5.77
585	36.007	-470.0	-6.22
586	36.086	-471.1	-6.40
587	36.166	-472.9	-6.70
588	36.248	-474.9	-7.03
589	36.331	-476.0	-7.22
590	36.416	-478.9	-7.70
591	36.502	-476.5	-7.30
592	36.585	-472.7	-6.67
593	36.666	-474.5	-6.97
594	36.748	-472.6	-6.65
595	36.827	-468.8	-6.02
596	36.905	-470.6	-6.32
597	36.985	-472.4	-6.62
598	37.066	-473.2	-6.76
599	37.148	-474.1	-6.90
600	37.230	-474.1	-6.90
601	37.313	-474.5	-6.97
602	37.396	-475.9	-7.20
603	37.479	-473.5	-6.80
604	37.558	-468.5	-5.97
605	37.637	-471.0	-6.38
606	37.718	-474.0	-6.88
607	37.799	-472.3	-6.60
608	37.880	-471.4	-6.45
609	37.959	-470.5	-6.30
610	38.039	-471.3	-6.43
611	38.120	-472.7	-6.66
612	38.201	-473.5	-6.80
613	38.284	-474.5	-6.96
614	38.367	-475.3	-7.09
615	38.451	-475.8	-7.18
616	38.535	-475.8	-7.18
617	38.619	-474.4	-6.94
618	38.702	-473.1	-6.73
619	38.783	-472.8	-6.69
620	38.865	-472.6	-6.64
621	38.946	-472.4	-6.60
622	39.027	-472.1	-6.56
623	39.107	-470.0	-6.21
624	39.185	-468.3	-5.93
625	39.263	-468.3	-5.93
626	39.341	-469.7	-6.16
627	39.420	-470.2	-6.24
628	39.499	-470.2	-6.24
629	39.579	-469.5	-6.13
630	39.657	-469.5	-6.13
631	39.735	-468.2	-5.91
632	39.812	-465.6	-5.48
633	39.889	-470.2	-6.24
634	39.971	-474.5	-6.96
635	40.054	-474.2	-6.91
636	40.138	-476.0	-7.21
637	40.223	-475.2	-7.07
638	40.305	-470.6	-6.31
639	40.386	-471.8	-6.51
640	40.468	-474.2	-6.91
641	40.551	-473.0	-6.71
642	40.632	-472.1	-6.56
643	40.714	-472.8	-6.67
644	40.796	-471.5	-6.46
645	40.875	-467.2	-5.74
646	40.952	-467.2	-5.74
647	41.031	-471.0	-6.37
648	41.112	-472.3	-6.59
649	41.191	-468.1	-5.89
650	41.268	-463.9	-5.19
651	41.342	-463.4	-5.11
652	41.415	-462.9	-5.02
653	41.489	-463.3	-5.09
654	41.564	-465.7	-5.48
655	41.638	-461.6	-4.80
656	41.710	-460.0	-4.53
657	41.782	-463.3	-5.08
658	41.855	-461.7	-4.81
659	41.927	-460.9	-4.68
660	42.001	-464.5	-5.27
661	42.077	-467.0	-5.69
662	42.152	-462.8	-4.99
663	42.225	-460.8	-4.65
664	42.298	-464.7	-5.30
665	42.374	-467.1	-5.70
666	42.451	-465.3	-5.40
667	42.527	-465.9	-5.49
668	42.603	-465.5	-5.43
669	42.679	-467.1	-5.69
670	42.758	-469.8	-6.13
671	42.837	-468.7	-5.95
672	42.916	-468.3	-5.88
673	42.994	-468.6	-5.93
674	43.073	-467.8	-5.80
675	43.150	-466.2	-5.53
676	43.226	-466.0	-5.50
677	43.304	-469.3	-6.04
678	43.385	-471.8	-6.45
679	43.464	-465.6	-5.42
680	43.540	-465.9	-5.47
681	43.619	-473.2	-6.68
682	43.702	-472.7	-6.60
683	43.785	-472.0	-6.48
684	43.868	-474.8	-6.94
685	43.952	-474.4	-6.88
686	44.036	-473.5	-6.72
687	44.120	-475.1	-6.99
688	44.206	-476.8	-7.27
689	44.292	-474.8	-6.94
690	44.377	-475.0	-6.97
691	44.463	-478.3	-7.51
692	44.551	-476.0	-7.13
693	44.634	-470.1	-6.15
